Sku,Name,Details,Wine Type,Vintage,Size,Price,Sale price,Image
23002,Pacific Rim Riesling Sweet,Moderately sweet and refreshingly low in alcohol ...,Riesling,2014,750ML,9.59,7.39,http://www.getwineonline.com//labels/t_P23002.jpg
309,Chateau Ste. Michelle Riesling,"This wine is from United States, Washington ...",Riesling,2014,750ML,9.69,7.39,http://library.bevnetwork.com/labels/515/t_254372.jpg
310,Chateau Ste. Michelle Riesling Dry,"The Chateau Ste. Michelle Dry Riesling is a dry, ...",Riesling,2014,750ML,9.69,7.39,http://www.getwineonline.com//labels/t_P00310.png
311,Chateau Ste. Michelle Sweet Riesling Harvest Select,Production keeps climbing for this off-dry (5% ...,Riesling,2013,750ML,9.69,7.39,http://www.getwineonline.com//labels/t_P00311.jpg
504,Pacific Rim Riesling Dry,"Pale straw with a full bouquet of jasmine, pear ...",Riesling,2013,750ML,9.59,7.39,http://www.getwineonline.com//labels/t_B00504.jpg
26847,Frisk Riesling Prickly,Made by a team of maverick winemakers hailing ...,Riesling,2014,750ML,9.69,7.39,http://library.bevnetwork.com/bottles/545/t_87896.jpg
4257,Markovic Estates Riesling Semi Sweet,"Its Grape is 100% Riesling. Its taste is clean , ...",Riesling,2014,750ML,9.69,7.39,http://library.bevnetwork.com/labels/600/t_147281.jpg
38470,Barefoot Refresh Crisp White Spritzer,Who says spritzers and BBQs don’t mix? ...,Riesling,,750ML,9.99,7.71,http://library.bevnetwork.com/bottles/500/t_279640.jpg
427,Washington Hills Riesling,"Tantalizing aromatics of apricot,peach,sugar cane",Riesling,2014,750ML,10.19,7.79,http://library.bevnetwork.com/labels/515/t_229253.jpg
40221,Mercer Canyons Riesling,,Riesling,2012,750ML,10.99,8.19,http://library.bevnetwork.com/bottles/515/t_119280.jpg
39293,Seebrich Riesling Kabinett Niersteiner Oelberg,,Riesling,2012,750ML,10.99,8.19,http://library.bevnetwork.com/labels/600/t_204735.jpg
4309,Clean Slate Riesling,"Ripe peach flavors balance lively acidity, hints ...",Riesling,2014,750ML,10.79,8.29,http://library.bevnetwork.com/labels/600/t_56956.jpg
11804,Rosemount Estate Riesling Diamond Label,,Riesling,,750ML,11.29,8.29,http://library.bevnetwork.com/labels/545/t_251826.jpg
153,Relax Riesling,"Slightly dry with an enticing fruity bouquet, it ...",Riesling,2014,750ML,10.69,8.29,http://www.getwineonline.com//labels/t_P00153.jpg
